396;1;2;MINISTERE DE L'ECONOMIE ET DES FINANCES (CENTRE D'ACTIVITES SPORTIVES ET CULTURELLES );2.37727000;48.84125000;143, RUE DE BERCY;75056;Paris;circle
397;1;2;MINISTERE DE L'ECONOMIE ET DES FINANCES (CENTRE D'ACTIVITES SPORTIVES ET CULTURELLES );2.37727000;48.84125000;143, RUE DE BERCY;75056;Paris;circle
398;1;2;WAOU CLUB MED GYM AUTEUIL;2.25956000;48.84680000;11, RUE CHANEZ;75056;Paris;circle
399;1;2;WAOU CLUB MED GYM AUTEUIL;2.25956000;48.84680000;11, RUE CHANEZ;75056;Paris;circle
400;1;2;CERCLE DE LA FORME MAILLOT;2.29016000;48.88070000;20, RUE GUERSANT;75056;Paris;circle
401;1;2;ENJOY BY FKC;2.38049000;48.89280000;36, RUE DE NANTES;75056;Paris;circle
402;1;2;REM GYM;2.40344000;48.87730000;72, RUE DE ROMAINVILLE;75056;Paris;circle
403;1;2;GYM STUDIO;2.39555000;48.87120000;9, RUE PIXERECOURT;75056;Paris;circle
404;1;2;CLUB MED GYM MAILLOT;2.28545930;48.87796940;17, RUE DU DEBARCADERE;75056;Paris;circle
405;1;2;FOREST HILL AQUABOULEVARD;2.27705000;48.83290000;4, RUE LOUIS ARMAND;75056;Paris;circle
406;1;2;LADY FITNESS 15éme arrondissement;2.30497000;48.84140000;16, rue borromée;75056;Paris;circle
407;1;2;FITNESS FIRST;2.27108000;48.85610000;58, RUE LA FONTAINE;75056;Paris;circle
408;1;2;CLUB MED GYM MONCEAU;2.30589000;48.88070000;26, RUE CHAZELLES;75056;Paris;circle
409;1;2;CLUB SPORTIF ET DES LOISIRS NOUVELLE France (CASERNE NOUVELLE France );2.34903000;48.87690000;82, RUE DU FAUBOURG POISSONNIERE;75056;Paris;circle
410;1;2;CITE SCOLAIRE VOLTAIRE;2.38474000;48.86401000;101, AVENUE DE LA REPUBLIQUE;75056;Paris;circle
411;1;2;AMBROISE PHYSIQUE;2.37499000;48.86044000;82, BOULEVARD VOLTAIRE;75056;Paris;circle
412;1;2;CLUB MED GYM PALAIS ROYAL;2.33877000;48.86219000;147 bis, RUE SAINT HONORE;75056;Paris;circle
413;1;2;UNIVERS GYM PARIS;2.33860000;48.86347000;20-22, RUE DES BONS ENFANTS;75056;Paris;circle
414;1;2;ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;2.33481000;48.86763000;4, RUE MARSOLLIER;75056;Paris;circle
415;1;2;SUN CITY;2.35138000;48.86384000;62, BOULEVARD DE SEBASTOPOL;75056;Paris;circle
416;1;2;SUN CITY;2.35138000;48.86384000;62, BOULEVARD DE SEBASTOPOL;75056;Paris;circle
417;1;2;LYCEE HENRI IV;2.34817000;48.84602000;23, RUE CLOVIS;75056;Paris;circle
418;1;2;AUTOMOBILE CLUB DE France (ACF);2.32140000;48.86715000;6, PLACE DE LA CONCORDE;75056;Paris;circle
419;1;2;HOTEL PLAZA ATHENE;2.30405000;48.86595000;25, AVENUE DE MONTAIGNE;75056;Paris;circle
420;1;2;CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris;circle
421;1;2;CLUB MED GYM CHAMPS ELYSEES;2.30609000;48.87342000;26, RUE DE BERRI;75056;Paris;circle
422;1;2;CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris;circle
423;1;2;LES BAINS DE LEA;2.30384000;48.86938000;62, PIERRE CHARON;75056;Paris;circle
424;1;2;ECOLE BERNARD PARISET;2.33939000;48.87771000;11, RUE DES MARTYRS;75056;Paris;circle
425;1;2;SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris;circle
426;1;2;SNCF;2.32807000;48.87727000;23, RUE DE LONDRES;75056;Paris;circle
427;1;2;SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris;circle
428;1;2;CLUB MED GYM VAUGIRARD;2.30678000;48.84110000;208, RUE VAUGIRARD;75056;Paris;circle
429;1;2;CLUB MED GYM VAUGIRARD;2.30678000;48.84110000;208, RUE VAUGIRARD;75056;Paris;circle
430;1;2;CENTRE DE JEUNESSE CHRETIENNE ET FAMILIALE;2.30778000;48.84240000;116, RUE DE LOURMEL;75056;Paris;circle
431;1;2;Lagardere Paris Racing;2.25663000;48.86500000;1, CHEMIN DE LA CROIX CATELAN;75056;Paris;circle
432;1;2;PLURIAL SPORT 1;2.32394000;48.88490000;6, RUE ABEL TRUCHET;75056;Paris;circle
433;1;2;CERCLE DE LA FORME ORNANO;2.34651000;48.89650000;127, RUE DU MONT CENIS;75056;Paris;circle
434;1;2;CLUB MONTMARTOIS 1;2.34749000;48.89200000;60, RUE ORDENER;75056;Paris;circle
435;1;2;PARIS TONIC;2.34753000;48.88660000;45, RUE DE CLIGNANCOURT;75056;Paris;circle
436;1;2;SUN CITY SPORT;2.32763000;48.89330000;90, AVENUE DE SAINT OUEN;75056;Paris;circle
437;1;2;KARATE CLUB KYOKUSHINKAI;2.33678000;48.89200000;8, RUE ACHILLE MARTINET;75056;Paris;circle
438;1;2;LYCEE PROFESSIONNEL ET TECHNOLOGIQUE SAINTE THERESE;2.27035000;48.85200000;40, RUE LA FONTAINE;75056;Paris;circle
439;1;2;UNIVERSITE PARIS DAUPHINE;2.27419000;48.87090000;1, PLACE DU MARECHAL DE LATTRE DE TASSIGNY;75056;Paris;circle
440;1;2;HOPITAL BROUSSAIS;2.31427000;48.82750000;96, RUE DIDOT;75056;Paris;circle
441;1;2;CLUB MED GYM PALAIS ROYAL;2.33877000;48.86219000;147 bis, RUE SAINT HONORE;75056;Paris;circle
442;1;2;ELEMENT PARIS 1ER;2.33699000;48.86580000;41, RUE DE RICHELIEU;75056;Paris;circle
443;1;2;BNP PARIBAS;2.33196000;48.86824000;3, RUE LOUIS LE GRAND;75056;Paris;circle
444;1;2;FITNESS CLUB BOURSE;2.34038000;48.86991000;24, RUE FEYDEAU;75056;Paris;circle
445;1;2;L'USINE;2.33453000;48.86931000;8, rue de la Michodiere;75056;Paris;circle
446;1;2;VIT'HALLES BEAUBOURG;2.35261000;48.86154000;48, RUE RAMBUTEAU;75056;Paris;circle
447;1;2;ECOLE NORMALE SUPERIEURE (rue d'ulm);2.34535000;48.84172000;45, RUE D'ULM;75056;Paris;circle
448;1;2;CLUB JEAN DE BEAUVAIS;2.34628000;48.84928000;5, RUE JEAN DE BEAUVAIS;75056;Paris;circle
449;1;2;CLUB JEAN DE BEAUVAIS;2.34628000;48.84928000;5, RUE JEAN DE BEAUVAIS;75056;Paris;circle
450;1;2;CENTRE D'ANIMATION CHÂTEAU LANDON;2.36396000;48.88327000;46, RUE DU CHÂTEAU LANDON;75056;Paris;circle
451;1;2;CLUB LAFAYETTE;2.35239000;48.87713000;27, RUE DES PETITS HOTELS;75056;Paris;circle
452;1;2;CLUB MED GYM PARIS 20EME;2.39914000;48.85740000;63, RUE DE BAGNOLET;75056;Paris;circle
453;1;2;SALLE DE SPORT ASPTT;2.30253600;48.83810800;15, RUE BOURSEUL;75056;Paris;circle
454;1;2;TRAINING - CLUB DE MISE EN FORME;2.30555000;48.84340000;76, RUE LECOURBE;75056;Paris;circle
455;1;2;LE CLUB;2.28327000;48.85130000;61, QUAI DE GRENELLE;75056;Paris;circle
456;1;2;SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris;circle
457;1;2;SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris;circle
458;1;2;CLUB MED GYM LAFAYETTE;2.34029000;48.87506000;10, RUE DE LA VICTOIRE;75056;Paris;circle
459;1;2;SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris;circle
460;1;2;SALLES DE SPORTS TOUR D'AUVERGNE;2.34412000;48.87926000;15 bis, RUE DE LA TOUR D'AUVERGNE;75056;Paris;circle
461;1;2;HOPITAL SAINT LOUIS;2.36840000;48.87280000;1, AVENUE CLAUDE VELLEFAU;75056;Paris;circle
462;1;2;ASSOCIATION KAJYN CLUB;2.38338000;48.85171000;13, RUE FAIDHERBE;75056;Paris;circle
463;1;2;AMBROISE PHYSIQUE;2.37499000;48.86044000;82, BOULEVARD VOLTAIRE;75056;Paris;circle
464;1;2;BODY GYM;2.37948000;48.85070000;157, RUE DU FAUBOURG SAINT ANTOINE;75056;Paris;circle
465;1;2;HOTEL IBIS - CLUB AQUAVIVA;2.31627000;48.89200000;5, IMPASSE CHALABRE;75056;Paris;circle
466;1;2;HOTEL IBIS - CLUB AQUAVIVA;2.31627000;48.89200000;5, IMPASSE CHALABRE;75056;Paris;circle
467;1;2;CLUB MED GYM MONCEAU;2.30589000;48.88070000;26, RUE CHAZELLES;75056;Paris;circle
468;1;2;ASSOCIATION SPORTIVE ET CULTURELLE DE L'ASSEMBLEE NATIONALE;2.31853000;48.86162000;126, RUE DE L'UNIVERSITE;75056;Paris;circle
469;1;2;LYCEE DE LA ROCHEFOUCAULT;2.30515000;48.86019000;22, RUE MALAR;75056;Paris;circle
470;1;2;AUTOMOBILE CLUB DE France (ACF);2.32140000;48.86715000;6, PLACE DE LA CONCORDE;75056;Paris;circle
471;1;2;HOTEL LA TREMOILLE;2.30302000;48.86686000;14, RUE DE LA TREMOILLE;75056;Paris;circle
472;1;2;SALLE DES SPORTS DU MINISTERE DE L'INTERIEUR;2.31776000;48.87133000;11, RUE DES SAUSSAIES;75056;Paris;circle
473;1;2;LES BAINS DE LEA;2.30384000;48.86938000;62, PIERRE CHARON;75056;Paris;circle
474;1;2;CITE INTERNATIONALE UNIVERSITAIRE DE PARIS;2.33806000;48.81928000;19, BOULEVARD JOURDAN;75056;Paris;circle
475;1;2;CAISSE DES DEPOTS - USAC;2.32026000;48.84148000;4, PLACE RAOUL DAUTRY;75056;Paris;circle
476;1;2;CLUB ENERGYM;2.32892000;48.83496000;6, RUE LALANDE;75056;Paris;circle
477;1;2;VIT'HALLES RASPAIL;2.33023000;48.83958000;226, BOULEVARD RASPAIL;75056;Paris;circle
478;1;2;GYMNASE HUYGHENS;2.32846000;48.84076000;10, RUE HUYGHENS;75056;Paris;circle
479;1;2;CLUB MED DENFERT;2.33021000;48.83179000;22, AVENUE DU GENERAL LECLERC;75056;Paris;circle
480;1;2;INSTITUT DU JUDO;2.31557000;48.82262000;21-25, AVENUE  DE LA PORTE DE CHÂTILLON;75056;Paris;circle
481;1;2;CLUB MED DENFERT;2.33021000;48.83179000;22, AVENUE DU GENERAL LECLERC;75056;Paris;circle
482;1;2;CLUB MED GYM MONTPARNASSE;2.32602000;48.84545000;149, RUE DE RENNES;75056;Paris;circle
483;1;2;ELEMENT;2.33049000;48.84227000;16, RUE DE LA GRANDE CHAUMIERE;75056;Paris;circle
484;1;2;HOTEL PLAZA ATHENE;2.30405000;48.86595000;25, AVENUE DE MONTAIGNE;75056;Paris;circle
485;1;2;LES THERMES - hotel royal monceau;2.30022000;48.87590000;37, AVENUE HOCHE;75056;Paris;circle
486;1;2;CLUB MED GYM CHAMPS ELYSEES;2.30609000;48.87342000;26, RUE DE BERRI;75056;Paris;circle
487;1;2;CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris;circle
488;1;2;CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris;circle
489;1;2;ANTHONY'S STUDIO;2.40217000;48.83971000;16, RUE LOUIS BRAILLE;75056;Paris;circle
490;1;2;CLUB MED GYM GRENELLE;2.29680000;48.84720000;8, RUE FREMICOURT;75056;Paris;circle
491;1;2;FOREST HILL AQUABOULEVARD;2.27705000;48.83290000;4, RUE LOUIS ARMAND;75056;Paris;circle
492;1;2;FITNESS FIRST;2.27108000;48.85610000;58, RUE LA FONTAINE;75056;Paris;circle
493;1;2;CENTRE SPORTIF GEO ANDRE;2.25246000;48.83927000;2, RUE DU COMMANDANT GUILBAUD;75056;Paris;circle
494;1;2;CERCLE DE LA FORME;2.36895000;48.86397000;11, RUE DE MALTE;75056;Paris;circle
495;1;2;APSAP - VP;2.37950000;48.85633000;12, COUR DEBILLE;75056;Paris;circle
496;1;2;CENTRE SPORTIF ANDRE CHANCE;2.37941000;48.85650000;1, COUR DEBILLE;75056;Paris;circle
497;1;2;WAOU CLUB MED GYM BERCY;2.38750000;48.83313000;45, RUE DES PIROGUES DE BERCY;75056;Paris;circle
498;1;2;CURVES 3;2.37368400;48.85020100;67, RUE DE CHARENTON;75056;Paris;circle
499;1;2;UNION SPORTIVE MAISON BLANCHE;2.35147000;48.82511000;22, RUE CHARLES FOURIER;75056;Paris;circle
500;1;2;CASERNE MASSENA;2.37551000;48.82277000;3, RUE DARMESTETER;75056;Paris;circle
501;1;2;CASERNE KELLERMANN;2.34848000;48.82068000;56, boulevard kellermann;75056;Paris;circle
502;1;2;CLUB MED GYM REPUBLIQUE;2.36512000;48.86740000;10, PLACE DE LA REPUBLIQUE;75056;Paris;circle
503;1;2;CLUB MED GYM REPUBLIQUE;2.36512000;48.86740000;10, PLACE DE LA REPUBLIQUE;75056;Paris;circle
504;1;2;"SALLE ASPTT PARIS CHAUDRON""""";2.36475000;48.88369000;22, RUE CHAUDRON;75056;Paris;circle
505;1;2;HOPITAL SAINT LOUIS;2.36840000;48.87280000;1, AVENUE CLAUDE VELLEFAU;75056;Paris;circle
506;1;2;AMBROISE PHYSIQUE;2.37499000;48.86044000;82, BOULEVARD VOLTAIRE;75056;Paris;circle
507;1;2;BODY GYM;2.37948000;48.85070000;157, RUE DU FAUBOURG SAINT ANTOINE;75056;Paris;circle
508;1;2;ANTHONY'S STUDIO;2.40217000;48.83971000;16, RUE LOUIS BRAILLE;75056;Paris;circle
509;1;2;CLUB MED GYM NATION;2.39864000;48.84633000;16, RUE DES COLONNES DU TRONE;75056;Paris;circle
510;1;2;INSEP;2.45223600;48.83252100;11, AVENUE DU TREMBLAY;75056;Paris;circle
511;1;2;STADE JEAN PIERRE GARCHERIE;2.45954000;48.81796000;, AVENUE DES CANADIENS;75056;Paris;circle
512;1;2;CENTRE CONVENTION;2.29446000;48.83790000;159, RUE BLOMET;75056;Paris;circle
513;1;2;TRAINING - CLUB DE MISE EN FORME;2.30555000;48.84340000;76, RUE LECOURBE;75056;Paris;circle
514;1;2;TRAINING - CLUB DE MISE EN FORME;2.30555000;48.84340000;76, RUE LECOURBE;75056;Paris;circle
515;1;2;UNIVERSITE PARIS V (FACULTE DE NECKER );2.31350000;48.84330000;156, RUE DE VAUGIRARD;75056;Paris;circle
516;1;2;U.F.R STAPS;2.29079000;48.83870000;1, RUE LACRETELLE;75056;Paris;circle
517;1;2;WAOU CLUB MED GYM AUTEUIL;2.25956000;48.84680000;11, RUE CHANEZ;75056;Paris;circle
518;1;2;KEN CLUB;2.28123000;48.85320000;100, AVENUE DU PRESIDENT KENNEDY;75056;Paris;circle
519;1;2;CLUB MED GYM MONCEAU;2.30589000;48.88070000;26, RUE CHAZELLES;75056;Paris;circle
520;1;2;LYCEE SAINT LOUIS;2.34129000;48.84914000;44, BOULEVARD SAINT MICHEL;75056;Paris;circle
521;1;2;LA GARDERE PARIS RACING;2.31418000;48.84917000;5, RUE EBLE;75056;Paris;circle
522;1;2;CLUB 49 DE BABYLONE;2.31815000;48.85161000;49, RUE DE BABYLONE;75056;Paris;circle
523;1;2;CLUB MED GYM CHAMPS ELYSEES;2.30609000;48.87342000;26, RUE DE BERRI;75056;Paris;circle
524;1;2;CLUB CHRISTIAN BARREAU;2.36672000;48.83384000;87, BOULEVARD VINCENT AURIOL;75056;Paris;circle
525;1;2;CLUB CHRISTIAN BARREAU;2.36672000;48.83384000;87, BOULEVARD VINCENT AURIOL;75056;Paris;circle
526;1;2;ASPTT PARIS - SALLE BACHELARD;2.31486000;48.82629000;12, ALLEE GASTON BACHELARD;75056;Paris;circle
527;1;2;CLUB ENERGYM;2.32892000;48.83496000;6, RUE LALANDE;75056;Paris;circle
528;1;2;HOPITAL COCHIN - SALLES DE SPORTS APSAP;2.33995000;48.83750000;24, RUE DU FG SAINT JACQUES;75056;Paris;circle
529;1;2;CENTRE D'ANIMATION MARC SANGNIER;2.30580000;48.82615000;20, AVENUE MARC SANGNIER;75056;Paris;circle
530;1;2;STADE CHARLETY;2.34531000;48.81813000;99, BOULEVARD KELLERMANN;75056;Paris;circle
531;1;2;STADE CHARLETY;2.34531000;48.81813000;99, BOULEVARD KELLERMANN;75056;Paris;circle
532;1;2;CENTRE D'ANIMATION DAVIEL;2.34508000;48.82843000;24, RUE DAVIEL;75056;Paris;circle
533;1;2;LYCEE NICOLAS LOUIS VAUQUELIN;2.37570000;48.82215000;21, AVENUE BOUTROUX;75056;Paris;circle
534;1;2;CERCLE DE LA FORME;2.36895000;48.86397000;11, RUE DE MALTE;75056;Paris;circle
535;1;2;APSAP - VP;2.37950000;48.85633000;12, COUR DEBILLE;75056;Paris;circle
536;1;2;WAOU CLUB MED GYM PORTE DE SEVRES;2.27781000;48.83250000;8, RUE LOUIS ARMAND;75056;Paris;circle
537;1;2;CURVES;2.30812000;48.83940000;33, RUE MATHURIN REGNIER;75056;Paris;circle
538;1;2;LADY MOVING;2.28981000;48.83920000;179 bis, RUE CROIX NIVERT;75056;Paris;circle
539;1;2;VIT'HALLES PALAIS DES SPORTS;2.28733700;48.83398500;31, rue du hameau;75056;Paris;circle
540;1;2;VIT'HALLES - SPA DAUPHINE;2.27388000;48.86976000;3, BOULEVARD LANNE;75056;Paris;circle
541;1;2;CLUB MED GYM MONCEAU;2.30589000;48.88070000;26, RUE CHAZELLES;75056;Paris;circle
542;1;2;VIT'HALLES BATIGNOLLES;2.32419200;48.88302200;32, BOULEVARD DES BATIGNOLLES;75056;Paris;circle
543;1;2;CLUB MED GYM MAILLOT;2.28545930;48.87796940;17, RUE DU DEBARCADERE;75056;Paris;circle
544;1;2;CLUB MED GYM MAILLOT;2.28545930;48.87796940;17, RUE DU DEBARCADERE;75056;Paris;circle
545;1;2;WAOU CLUB MED GYM PORTE MAILLOT;2.28502210;48.88071590;1, place du général Koenig;75056;Paris;circle
546;1;2;WAOU CLUB MED GYM PORTE MAILLOT;2.28502210;48.88071590;1, place du général Koenig;75056;Paris;circle
547;1;2;WAOU CLUB MED GYM PORTE MAILLOT;2.28502210;48.88071590;1, place du général Koenig;75056;Paris;circle
548;1;2;PLURIAL SPORT 1;2.32394000;48.88490000;6, RUE ABEL TRUCHET;75056;Paris;circle
549;1;2;CERCLE DE LA FORME ORNANO;2.34651000;48.89650000;127, RUE DU MONT CENIS;75056;Paris;circle
550;1;2;CERCLE DE LA FORME ORNANO;2.34651000;48.89650000;127, RUE DU MONT CENIS;75056;Paris;circle
551;1;2;ECOLE BERNARD PARISET;2.33939000;48.87771000;11, RUE DES MARTYRS;75056;Paris;circle
552;1;2;CLUB MED GYM PALAIS ROYAL;2.33877000;48.86219000;147 bis, RUE SAINT HONORE;75056;Paris;circle
553;1;2;RITZ HEALTH CLUB;2.32891000;48.86797000;17, PLACE VENDOME;75056;Paris;circle
